错题解析,模拟 5,,,
题目,考点,解析,章节, 备注
6,预期货币价值 EMV,"决策树分析到底是外包还是自己干

A.计算不使用外包的预期货币价值为：-200*70% + 0*30% = -140（万美元），即不使用外包有 70% 的概率损失 200 万美元，30% 的概率损失为 0，预期损失 140 万美元。
而使用外包的成本是 75 万美元，-75 万美元小于 -140 万美元，所以使用外包的预期货币价值更大，该选项正确。

B.题干中明确说明 X 资源 6 个月不可用，与职能经理沟通争取内部资源成功的可能性极低，无法解决资源短缺的问题，不能避免可能的罚款，所以该选项不可行。",精讲《过程组：实践指南》101 节,"标准的计算题
需要实际计算一下"
8,优先级排序,"要求合规性的事情全部完成。A 在前 D 在后。
分迭代去完成

A. 该选项符合敏捷原则。在项目早期对合规性要求进行优先级排序，能让团队明确工作重点，在后续迭代中按照优先级逐步完成合规性要求，同时可以根据实际情况灵活调整，在保证软件性能的前提下，高效地满足合规性需求。

D. 此选项没有体现出敏捷方法中对工作进行优先级排序和分阶段迭代的特点，只是强调了完成合规性要求和审查，缺乏对项目过程的有效规划和管理，不如 A 选项能更好地指导产品负责人在敏捷环境下开展工作",精讲《敏捷实践指南》32 节,
12,,"B. 产品待办列表中的用户故事是项目工作的源头，定义了项目要交付的功能与价值。PO 负责管理和梳理产品待办列表，合规官熟悉监管要求，三者共同审查能从需求层面找出导致不合规的用户故事 ，明确问题本质。
只有先找到问题根源，才能针对性地制定解决方案，是解决合规问题的关键第一步，因此该选项正确。

C. 完成定义（DOD）主要界定冲刺中技术任务完成的标准，但当前问题是项目成果不符合监管规定，属于合规性问题而非单纯技术任务完成标准问题。
审查技术任务的 DOD 无法触及不合规的核心原因，不能有效解决客户提出的合规性差异，所以该选项错误。",精讲《敏捷实践指南》25 节,
13,ROI,"C. 项目经理认为投资回报不理想是项目执行流程问题导致，而非产品本身的问题。通过展示 ROI 未达预期和项目流程问题之间的因果关系，能让财务主管明白产品本身是有价值的，只是因为流程环节（如成本控制、市场推广策略等）的失误才导致当前财务结果不佳。只要改善流程问题，项目就有可能实现预期 ROI，这直接回应了财务主管对项目价值的质疑，最能有效说服财务主管 。

D. 项目分多阶段完成只是项目的实施方式，不能直接解释当前 ROI 未达预期的原因，也无法证明产品的价值以及项目未来实现良好投资回报的可能性，对说服财务主管改变削减预算的决定没有实质性帮助 。",精讲《过程组：实践指南》82 节,
22,敏捷变革,"""在强制性采用敏捷方法之前"":  意味着企业文化是否合适或者确定的步骤已经完成了
对团队成员进行敏捷培训是比较合适的做法。

D选项敏捷方法确定使用前需要先确定评估文化，但是题干已经确定使用敏捷方法，所以说明文化评估已经完成，不需再评估。。所以答案是C。
",精讲《项目管理知识体系第七版》7 节,
27,产品经理的职责,"谁将验证项目价值是否实现：产品负责人
谁去实现：团队
谁去跟踪流程： 项目经理

敏捷项目中，产品负责人有权决定产品是否达到了可发布的状态，这意味着他们需要对项目交付的成果进行全面的评估和验收，判断其是否满足了产品价值的要求。",精讲《敏捷实践指南》17节,
28,估算方法,"估算出现了问题就找估算最准确的方法，就是 C 自下而上估算

A: 关键路径是分析进度是否延期的手段
A和D修改项目进度计划不是任务估算方法

C.自下而上估算。通过结构化分解任务和团队协作，既能解决当前估算问题，又能帮助新项目经理快速融入团队，是综合风险和效率的最佳选择。
",精讲《过程组：实践指南》66节,
30,SPI,"SPI=1 说明完成的工作量 = 预期的工作量。（并不代表进度提前或者落后）非关键任务延期问题不大，关键路径没有延期。

B. 非关键路径任务在浮动时间内延迟通常不需替代方案，团队资源应优先保障关键路径任务。

C.在SPI正常且非关键路径任务延迟可控的情况下，严格遵循项目管理计划是风险最小、成本最优的决策。‌",精讲《过程组：实践指南》154 节,
33,,"C: 估算速率
D: 估算故事点数

C 选项：通过参考过往项目中类似用户故事的开发情况，使用类比估算来确定故事点数，再结合团队速度评估开发数量，这种方式既考虑了工作量的估算，又结合了团队实际的交付能力，能够科学合理地确定首次冲刺可以完成的用户故事数量，符合敏捷项目规划的实践方法，所以 C 选项正确。

D 选项：采用计划扑克法对所有用户故事进行估算后再确定开发数量，一方面对所有用户故事进行估算会耗费大量时间和精力，效率较低，不符合敏捷快速迭代的理念；另一方面在首次冲刺规划时，不需要对所有用户故事都进行详细估算，只需重点关注本次冲刺的内容即可，所以 D 选项错误。",精讲《敏捷实践指南》29 节,
