错题解析,,,,
题目,考点,解析,章节, 备注
1,风险,"面临停滞风险， 风险流程
先更新风险登记册
识别风险（延迟）→ 记录并评估影响→ 制定应对计划（如引入外部专家、协调其他部门支持）。

D适用于分析问题根源（如原负责人离职原因），但当前需优先应对风险而非追溯原因。",精讲《过程组：实践指南》105 节,不是成员的项目目标
13,共同解决问题,"A和B共同解决阻碍（如B协助A处理非依赖任务或提供技术支持）。

A. 资源浪费，违反精益“持续流动”原则。‌B. 技能错配，可能引发返工。‌D. 被动处理，违背仆人式领导职责",精讲《过程组：实践指南》63 节,
16,WBS,"与新团队 “成员” 讨论哪个项目工件，以确保其了解如何为项目做贡献？

有坑：
项目经理关注的《项目章程》
但成员关注的是 自己相关的事项 WBS
",精讲《过程组：实践指南》56 节,
18,自组织和协作,"A: 先讨论比较好
B. 调整产品待办事项列表需要产品负责人参与，但这一步应在团队内部讨论明确影响后执行。‌
D 直接减少范围，这不行",精讲《敏捷实践指南》19 节,
23,合规性， 问题处理,"需要快速提交最可交付成果， 增量交付

A: 就是增量交付
B: 看板管理是解决工作量太多，需要限制工作量，提升效率
C: 是 B 里面的具体内容。<持续的价值流>类似持续做运营的工作，或者生产线。不能解决快速交付的问题
D: 不是说迭代，是另一个概念",精讲《敏捷实践指南》9 节,
32,变更流程,"互动管理： 多个时区， 用拉式。 
互动：快速对齐
推式：发布报告，广泛同步信息必须知晓，系统强制停机
拉式：跨时区，分散

A: 视频会议
B: 强制同步关键信息，汇报，不够实时。邮件的形式可能会错过邮件
C: 没有这种方法
D: 拉式：人多，信息量大，团队分散，支持异步协作，去固定的地方去取",精讲《过程组：实践指南》90 节,
34,收尾流程,"项目的绩效评估在整个流程中
成员的绩效评估在项目收尾阶段
",精讲《过程组：实践指南》167 节,
36,配置管理计划,"项目管理计划 - 配置管理计划
配置管理 = 变更管理 + 版本控制（配置流程， 变更之前和变更后文件到底放在哪里）
文件缺失是版本管理的问题， 要查看 配置流程 的章节

D: 都当问题了， 应该是问题应对，而不是风险应对",精讲《过程组：实践指南》47 节,比较偏的考点
37,,"可能是增量交付。但是题干中没有， 排除法

A: 让团队加速满足（加班）不选
B: 不是《刺代办列表》中， 应该是产品代办列表
C: 加人不选
D: 最后只能选这个",精讲《敏捷实践指南》34 节,
40,风险,"风险题，识别，分析，处理  
A: 是风险，如果说风险已经识别过了，现在变成问题了，怎么避免， 才会选A
B: 替代文档不对， 不一定是这个方法。
C: 一定不对， 已经是问题了， 不是风险了
D: 没有分析只能选解决了。（也不是特别好）",,
42,,"A: 加人不选
B:外部可能未必能满足，内部培训比外部好
D: 直接走变更流程不对",精讲《过程组：实践指南》130 节,排除法
44,"敏捷章程
团队共识","题干：确认此工具同样满足项目的业务需求
A: 推荐给产品负责人会更好
C: 加入产品代办列表要 PO 决定
D: 每日站会不干这个",精讲《敏捷实践指南》23 ,
50,,"团队没有完成目标
A: 应该团队一起讨论和解决问题
B: 修改不对
C: 不能找发起人推动， 是团队自己的问题，应该团队讨论解决
D: 缩短不对",精讲《敏捷实践指南》42 节,
51,启动会,"团队缺乏动力，影响项目绩效， 团建或者是分析问题解决问题。
考 Kickoff meeting， 规划结束后，项目启动前

A: 项目启动会， 有团队建设的特点，给大家鼓鼓劲
B: 和预算无关
C: 发起人不对， 换成项目经理就对了
D: 风险研讨会是讨论风险的. 不会在研讨会上讨论 “大家有没有可能缺乏动力啊” 不合理",精讲《过程组：实践指南》39 节,
53,,"重复问题的根源在于组织未能将历史经验教训制度化。
通过系统性继承过往项目的知识，项目经理可确保团队应用已验证的解决方案，避免同类问题复发。‌

B：风险登记册没法评估，不能避免， 应该查阅经验教训",精讲《过程组：实践指南》16 节,
54,"领导力风格
干系人管理","前任项目经理的领导风格导致了项目的失控，现在团队也失去了动力
其他外部干系人也认为这个项目只是一项运营服务（干系人管理）
可能是情景式领导力

D（正确）: 设立新的项目愿景（干系人管理），并在团队内分配职权。（授权）

C: 团队开展领导力培训（应该你自己培训不是团队学习）和团队建设（士气）",精讲《过程组：实践指南》 134节 & 140节,
58,领导力,"领导力：授权式。 项目经理越权了，应该让团队进行决策，不应该自己做决策
A: 不是冲突
B: 正确
C: 不应该是项目经理自己决策， 应该是大家一起集体做决策
D: 明显是项目经理的问题。团建没用",精讲《过程组：实践指南》134 节,
59,情商,"纯考定义
没有自我鼓励，没有自我驱动

直接C",精讲《过程组：实践指南》134 节,
60,测探，探针,"题干：存在外部依赖，希望避免， 是风险不是问题
类似风险管理，就是增量交付。

C: 题干是风险，不是问题
D: 在首次加入集成， 试一试。 类似探针

","精讲《敏捷实践指南》45 节",
71,项目治理,"只能用排除法

A: 达成共识，解决不了（CCB）的话
B: 应付
C: 代办事项列表，只有优先级，看不到范围，看不到进度
D: 甩锅，打扰了团队",精讲《过程组：实践指南》18 节,
73,冲突解决,"冲突解决， 私下解决
A: 先了解情况
B: 没有必要
C: 早了，还没有了解情况，先A再C
D: 甩锅",精讲《过程组：实践指南》133 节,
75,软技能,"项目经理很自负，这个是个人能力的问题。
这反映出其可能过度依赖个人能力，忽视团队协作与人际互动。
软技能（如沟通、倾听、领导力、团队建设）是项目经理协调团队、激发成员潜力的关键。

C: 指项目管理10大领域的知识，处理流程的能力。和题干无关

D: 软技能 正确
",精讲《过程组：实践指南》22 节,
78,管理干系人参与,"各种不支持， 不参与， 不满意：考干系人 --> 管理干系人

B: 建立认知不能解决问题，应该先了解，先A后B
C: 甩锅，一定是项目经理亲自去做
D: 光找有影响力的负责人不好，不管群众的诉求，但有可能是老百姓不满，可能引发 “忽视多数人利益” 的风险",精讲《过程组：实践指南》140 节,
82,干系人管理,"干系人意见不一致，共识
B 和 E 干系人管理

排除法
A: 没有项目目标文档这个概念，但可以明确项目目标。项目章程有， 但也不是项目经理能制定的。
D: 干系人管理不需要小组协调会议， 执行干系人管理策略

C: 能覆盖 D，分组讨论，也可以选比 D 更好一些
E: 干系人登记册包含干系人分析组讨论，也可以选比 D 更好一些",精讲《过程组：实践指南》43节& 113节,
